Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,529,435,541,560,1205,350,13059,0.0
jmeter_view_issue,18198,194,183,244,271,337,138,1072,0.0
jmeter_view_dashboard,5077,362,351,444,480,539,256,1372,0.0
jmeter_search_jql,5501,593,583,712,746,813,397,1614,0.0
jmeter_view_backlog,2539,389,379,466,492,572,282,1406,0.0
jmeter_open_quick_create,1693,73,71,89,98,115,55,190,0.0
jmeter_create_issue,1693,253,244,305,326,363,195,481,0.0
jmeter_view_project_summary,1693,285,249,424,519,791,172,967,0.0
jmeter_open_editor,1692,92,91,105,114,135,74,242,0.0
jmeter_save_edit,1692,351,334,415,476,640,193,1529,0.0
jmeter_browse_projects,1692,60,58,70,77,100,45,181,0.0
jmeter_view_kanban_board,1269,1083,1093,1360,1410,1509,485,1722,0.0
jmeter_view_scrum_board,1269,159,158,210,226,259,97,1444,0.0
jmeter_open_comment,847,77,75,90,100,113,60,147,0.0
jmeter_save_comment,846,201,193,254,279,331,138,407,0.0
jmeter_browse_boards,846,83,80,93,109,129,65,237,0.0
selenium_login:open_login_page,223,113,109,116,119,136,98,999,0.0
selenium_login:login_and_view_dashboard,223,659,514,1266,1294,1382,424,2720,0.0
selenium_login,223,773,625,1377,1408,1493,534,3720,0.0
selenium_browse_projects_list,223,331,327,358,367,384,279,770,0.0
selenium_browse_boards_list,223,319,262,312,757,792,245,2351,0.0
selenium_create_issue:open_quick_create,223,725,737,769,776,807,611,1059,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,223,610,607,613,616,628,597,1127,0.0
selenium_create_issue:fill_and_submit_issue_form,223,1153,1150,1197,1204,1230,1039,1829,0.0
selenium_create_issue,223,1879,1883,1946,1960,2011,1675,2889,0.0
selenium_edit_issue:open_edit_issue_form,223,619,615,681,696,722,432,1009,0.0
selenium_edit_issue:save_edit_issue_form,223,594,579,670,684,715,514,733,0.0
selenium_edit_issue,223,1533,1522,1608,1632,1663,1427,2052,0.0
selenium_save_comment:open_comment_form,223,347,352,381,389,398,271,447,0.0
selenium_save_comment:submit_form,223,778,760,825,854,980,659,3107,0.0
selenium_save_comment,223,1306,1281,1381,1442,1752,1133,3648,0.0
selenium_search_jql,223,1265,1260,1330,1352,1423,1145,2376,0.0
selenium_view_scrum_board_backlog,223,598,551,655,733,1273,451,3570,0.0
selenium_view_scrum_board,223,718,481,1042,1062,1401,276,2498,0.0
selenium_view_kanban_board,223,1429,1371,1814,2004,2096,740,2182,0.0
selenium_view_dashboard,223,402,401,582,624,692,210,819,0.0
selenium_view_issue,223,650,643,694,711,788,523,1808,0.0
selenium_project_summary,223,452,443,508,531,598,309,2361,0.0
selenium_log_out,223,344,338,386,403,424,288,464,0.0
