Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,391,376,473,493,526,316,560,0.0
jmeter_view_issue,18199,174,162,234,262,314,105,1285,0.0
jmeter_search_jql,5501,610,579,811,910,1017,371,1910,0.0
jmeter_view_dashboard,5079,332,318,423,464,536,224,1545,0.0
jmeter_view_backlog,2539,425,407,536,574,645,298,1100,0.0
jmeter_open_quick_create,1693,62,58,81,89,108,43,139,0.0
jmeter_create_issue,1693,230,204,332,378,452,136,726,0.0
jmeter_view_project_summary,1693,196,183,257,288,358,136,510,0.0
jmeter_open_editor,1693,85,82,100,113,143,66,240,0.0
jmeter_save_edit,1693,298,277,409,461,536,162,1476,0.0
jmeter_browse_projects,1693,63,61,76,83,117,46,171,0.0
jmeter_view_kanban_board,1269,1204,1194,1469,1527,1673,727,1813,0.0
jmeter_view_scrum_board,1269,157,153,215,232,261,87,442,0.0
jmeter_open_comment,847,86,79,116,130,161,54,189,0.0
jmeter_save_comment,847,177,164,246,268,310,108,431,0.0
jmeter_browse_boards,846,82,79,97,109,143,60,189,0.0
selenium_login:open_login_page,209,116,111,122,132,150,98,857,0.0
selenium_login:login_and_view_dashboard,209,612,617,682,707,731,477,1095,0.0
selenium_login,209,729,731,804,828,847,583,1952,0.0
selenium_browse_projects_list,209,362,355,401,421,436,324,451,0.0
selenium_browse_boards_list,209,308,284,312,351,791,256,814,0.0
selenium_create_issue:open_quick_create,209,738,746,813,831,851,619,885,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,209,610,609,617,620,624,599,649,0.0
selenium_create_issue:fill_and_submit_issue_form,209,1163,1165,1213,1228,1265,1051,1387,0.0
selenium_create_issue,209,1902,1909,2011,2036,2080,1696,2148,0.0
selenium_edit_issue:open_edit_issue_form,209,668,670,735,765,819,439,845,0.0
selenium_edit_issue:save_edit_issue_form,209,681,680,732,760,826,514,852,0.0
selenium_edit_issue,209,1658,1656,1737,1769,1868,1491,1957,0.0
selenium_save_comment:open_comment_form,209,357,347,412,424,447,258,458,0.0
selenium_save_comment:submit_form,209,742,735,821,839,890,618,920,0.0
selenium_save_comment,209,1248,1233,1339,1369,1543,1060,1717,0.0
selenium_search_jql,209,1369,1355,1459,1512,1634,1196,1925,0.0
selenium_view_scrum_board_backlog,209,631,586,717,1072,1360,444,1528,0.0
selenium_view_scrum_board,209,774,987,1117,1138,1198,305,1491,0.0
selenium_view_kanban_board,209,1720,1767,2113,2293,2472,1241,2817,0.0
selenium_view_dashboard,209,683,675,874,913,988,372,1034,0.0
selenium_view_issue,209,617,619,678,690,726,474,747,0.0
selenium_project_summary,209,466,465,562,584,621,318,651,0.0
selenium_log_out,209,357,350,404,417,444,295,482,0.0
