Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,634,534,732,834,1284,409,13543,0.0
jmeter_view_issue,18196,241,224,308,352,438,154,3569,0.0
jmeter_view_dashboard,5077,447,428,564,649,780,294,1680,0.0
jmeter_search_jql,5500,877,867,1077,1132,1238,533,2846,0.0
jmeter_view_backlog,2538,590,573,739,788,905,372,1346,0.0
jmeter_open_quick_create,1693,86,76,118,137,179,55,1124,0.0
jmeter_create_issue,1692,614,601,748,793,873,256,1248,0.0
jmeter_view_project_summary,1692,293,276,394,441,554,199,766,0.0
jmeter_open_editor,1692,125,119,154,175,218,93,292,0.0
jmeter_save_edit,1692,463,414,642,695,946,229,3644,0.0
jmeter_browse_projects,1692,90,85,116,130,156,66,199,0.0
jmeter_view_kanban_board,1269,1319,1393,1705,1834,2073,523,2264,0.0
jmeter_view_scrum_board,1269,238,232,319,349,413,129,571,0.0
jmeter_open_comment,846,108,104,128,136,160,84,193,0.0
jmeter_save_comment,846,287,281,362,400,527,172,625,0.0
jmeter_browse_boards,846,124,117,153,166,189,91,696,0.0
selenium_login:open_login_page,205,123,114,134,153,170,103,971,0.0
selenium_login:login_and_view_dashboard,205,663,615,712,1334,1545,477,2333,0.0
selenium_login,205,786,729,842,1463,1667,587,3305,0.0
selenium_browse_projects_list,205,355,351,374,386,416,303,865,0.0
selenium_browse_boards_list,205,374,290,755,792,811,266,2317,0.0
selenium_create_issue:open_quick_create,205,720,729,762,774,814,619,1050,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,205,790,626,1121,1123,1138,601,1640,0.0
selenium_create_issue:fill_and_submit_issue_form,205,1323,1176,1683,1696,1727,1057,2280,0.0
selenium_create_issue,205,2043,1911,2405,2440,2466,1684,3330,0.0
selenium_edit_issue:open_edit_issue_form,205,652,652,712,736,758,501,1183,0.0
selenium_edit_issue:save_edit_issue_form,205,614,600,688,720,753,516,783,0.0
selenium_edit_issue,205,1581,1565,1667,1699,1739,1437,2223,0.0
selenium_save_comment:open_comment_form,205,367,374,397,413,436,223,451,0.0
selenium_save_comment:submit_form,205,900,848,1098,1141,1209,702,3092,0.0
selenium_save_comment,205,1454,1394,1687,1742,1925,1187,3620,0.0
selenium_search_jql,205,1379,1358,1495,1544,1619,1179,2543,0.0
selenium_view_scrum_board_backlog,205,779,637,1256,1329,1429,437,2757,0.0
selenium_view_scrum_board,205,747,796,1070,1497,1564,292,2890,0.0
selenium_view_kanban_board,205,1538,1440,1979,2155,2604,761,2820,0.0
selenium_view_dashboard,205,599,601,810,875,956,285,1221,0.0
selenium_view_issue,205,627,624,686,710,734,473,1696,0.0
selenium_project_summary,205,481,462,579,607,679,321,2076,0.0
selenium_log_out,205,368,362,412,426,462,306,496,0.0
