Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,557,425,542,581,4269,345,8035,0.0
jmeter_view_issue,18194,171,161,201,263,362,104,3249,0.0
jmeter_view_dashboard,5077,287,275,346,369,412,224,1312,0.0
jmeter_view_backlog,2539,392,389,449,472,518,301,3465,0.0
jmeter_search_jql,5501,524,514,596,620,687,428,5507,0.0
jmeter_open_quick_create,1692,67,64,73,76,92,52,3298,0.0
jmeter_create_issue,1692,257,266,313,334,384,142,709,0.0
jmeter_view_project_summary,1692,235,231,296,327,384,143,528,0.0
jmeter_open_editor,1692,98,97,110,115,134,67,878,0.0
jmeter_save_edit,1692,295,293,369,413,567,162,1317,0.0
jmeter_browse_projects,1692,67,67,74,78,97,47,187,0.0
jmeter_open_comment,846,82,81,94,100,128,58,172,0.0
jmeter_save_comment,846,168,156,220,245,348,105,550,0.0
jmeter_browse_boards,846,89,90,100,104,124,63,205,0.0
jmeter_view_kanban_board,1269,866,852,1032,1072,1139,588,14955,0.0
jmeter_view_scrum_board,1269,173,165,229,239,259,90,408,0.0
selenium_login:open_login_page,222,123,109,120,124,129,98,3064,0.0
selenium_login:login_and_view_dashboard,222,580,579,644,675,698,467,2438,0.0
selenium_login,222,705,688,757,784,809,571,5503,0.0
selenium_browse_projects_list,222,346,340,367,374,387,312,841,0.0
selenium_browse_boards_list,222,310,282,299,307,777,262,4528,0.0
selenium_create_issue:open_quick_create,222,710,696,779,794,838,627,2867,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,222,611,605,614,617,626,596,1635,0.0
selenium_create_issue:fill_and_submit_issue_form,222,1154,1150,1201,1217,1237,1040,2355,0.0
selenium_create_issue,222,1865,1847,1950,1984,2021,1685,5223,0.0
selenium_edit_issue:open_edit_issue_form,222,600,597,667,688,714,435,1386,0.0
selenium_edit_issue:save_edit_issue_form,222,607,594,683,703,751,497,817,0.0
selenium_edit_issue,222,1507,1486,1625,1675,1759,1330,2608,0.0
selenium_save_comment:open_comment_form,222,340,334,387,393,412,275,433,0.0
selenium_save_comment:submit_form,222,796,776,878,932,1000,636,3411,0.0
selenium_save_comment,222,1286,1270,1368,1427,1608,1097,3982,0.0
selenium_search_jql,222,1250,1246,1312,1336,1370,1124,2446,0.0
selenium_view_scrum_board_backlog,222,744,629,1118,1246,1362,460,3483,0.0
selenium_view_scrum_board,222,762,542,1116,1524,1637,305,2455,0.0
selenium_view_kanban_board,222,1265,1278,1526,1794,1902,745,2032,0.0
selenium_view_dashboard,222,616,606,854,892,979,296,1053,0.0
selenium_view_issue,222,592,578,663,678,793,449,1820,0.0
selenium_project_summary,222,435,424,527,545,597,314,1960,0.0
selenium_log_out,222,378,377,422,433,459,296,503,0.0
