Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,506,475,640,731,877,365,1226,0.0
jmeter_view_issue,18201,202,184,268,310,410,135,3392,0.0
jmeter_view_dashboard,5078,346,333,428,459,533,248,1297,0.0
jmeter_search_jql,5502,604,587,739,795,886,424,5236,0.0
jmeter_open_quick_create,1693,74,72,86,97,116,55,1088,0.0
jmeter_view_backlog,2540,379,357,479,532,639,277,2790,0.0
jmeter_create_issue,1693,269,254,346,381,447,195,571,0.0
jmeter_view_project_summary,1693,528,471,988,1173,1415,170,1737,0.0
jmeter_open_editor,1692,94,90,115,127,153,71,261,0.0
jmeter_save_edit,1692,365,335,486,551,664,261,1468,0.0
jmeter_browse_projects,1692,60,59,70,79,103,45,154,0.0
jmeter_open_comment,847,82,75,109,123,157,59,225,0.0
jmeter_save_comment,847,206,196,256,283,389,139,478,0.0
jmeter_browse_boards,846,82,79,92,104,130,66,196,0.0
jmeter_view_kanban_board,1269,983,937,1304,1365,1460,510,16083,0.0
jmeter_view_scrum_board,1269,155,154,211,222,251,93,432,0.0
selenium_login:open_login_page,223,108,103,113,118,129,93,927,0.0
selenium_login:login_and_view_dashboard,223,961,1199,1268,1292,1442,426,3644,0.0
selenium_login,223,1069,1301,1376,1402,1550,521,4572,0.0
selenium_browse_projects_list,223,316,313,343,357,379,277,515,0.0
selenium_browse_boards_list,223,337,261,721,761,797,242,3561,0.0
selenium_create_issue:open_quick_create,223,713,723,752,766,814,618,1483,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,223,611,606,611,614,625,595,1631,0.0
selenium_create_issue:fill_and_submit_issue_form,223,1223,1148,1198,1215,3485,1040,3509,0.0
selenium_create_issue,223,1937,1871,1936,1971,4123,1688,4147,0.0
selenium_edit_issue:open_edit_issue_form,223,622,624,671,688,730,469,1562,0.0
selenium_edit_issue:save_edit_issue_form,223,590,571,661,688,727,507,1135,0.0
selenium_edit_issue,223,1516,1496,1593,1630,1733,1399,2711,0.0
selenium_save_comment:open_comment_form,223,352,354,396,419,440,232,446,0.0
selenium_save_comment:submit_form,223,795,768,867,933,1013,665,3931,0.0
selenium_save_comment,223,1308,1279,1398,1472,1757,1129,4521,0.0
selenium_search_jql,223,1104,1118,1190,1218,1249,520,2191,0.0
selenium_view_scrum_board_backlog,223,579,561,639,671,1242,377,3292,0.0
selenium_view_scrum_board,223,704,462,1044,1066,1400,291,3459,0.0
selenium_view_kanban_board,223,1346,1290,1742,1809,1982,720,2960,0.0
selenium_view_dashboard,223,395,377,590,636,707,208,825,0.0
selenium_view_issue,223,636,625,677,692,900,525,1841,0.0
selenium_project_summary,223,444,435,497,527,546,316,2271,0.0
selenium_log_out,223,310,309,342,354,375,262,392,0.0
