Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,389,383,442,503,778,298,1148,0.0
jmeter_view_issue,18202,152,153,180,190,214,98,1073,0.0
jmeter_search_jql,5502,483,478,566,593,645,352,1645,0.0
jmeter_view_dashboard,5079,289,288,342,361,405,213,1108,0.0
jmeter_view_backlog,2539,751,743,819,852,910,663,1175,0.0
jmeter_open_quick_create,1693,68,67,79,84,106,49,255,0.0
jmeter_create_issue,1693,201,213,243,259,294,126,820,0.0
jmeter_view_project_summary,1693,212,213,252,270,322,127,408,0.0
jmeter_open_editor,1693,82,82,96,102,118,55,182,0.0
jmeter_save_edit,1693,297,298,365,392,498,147,1299,0.0
jmeter_browse_projects,1693,52,51,62,65,80,36,342,0.0
jmeter_view_kanban_board,1270,905,848,1167,1209,1294,575,1462,0.0
jmeter_view_scrum_board,1270,154,153,213,225,256,82,465,0.0
jmeter_open_comment,847,68,67,82,89,102,44,194,0.0
jmeter_save_comment,847,157,154,197,211,245,91,308,0.0
jmeter_browse_boards,846,73,73,82,84,106,52,261,0.0
selenium_login:open_login_page,235,110,105,115,118,127,94,941,0.0
selenium_login:login_and_view_dashboard,235,516,507,548,558,816,441,1288,0.0
selenium_login,235,627,614,658,665,1155,544,1855,0.0
selenium_browse_projects_list,235,332,328,360,366,388,304,398,0.0
selenium_browse_boards_list,235,267,264,287,291,300,241,343,0.0
selenium_create_issue:open_quick_create,235,746,752,809,830,869,635,911,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,235,612,611,619,622,637,600,657,0.0
selenium_create_issue:fill_and_submit_issue_form,235,1175,1177,1227,1240,1282,1052,1300,0.0
selenium_create_issue,235,1922,1928,2017,2040,2105,1696,2195,0.0
selenium_edit_issue:open_edit_issue_form,235,632,635,694,722,750,486,795,0.0
selenium_edit_issue:save_edit_issue_form,235,617,592,703,730,831,533,1149,0.0
selenium_edit_issue,235,1573,1562,1676,1720,1857,1433,2066,0.0
selenium_save_comment:open_comment_form,235,366,369,417,432,459,249,472,0.0
selenium_save_comment:submit_form,235,712,706,775,795,917,576,955,0.0
selenium_save_comment,235,1227,1219,1313,1348,1498,1062,1662,0.0
selenium_search_jql,235,1267,1257,1318,1341,1406,1180,1524,0.0
selenium_view_scrum_board_backlog,235,577,576,653,675,700,428,770,0.0
selenium_view_scrum_board,235,375,372,469,483,525,254,829,0.0
selenium_view_kanban_board,235,1335,1292,1691,1821,1954,742,2203,0.0
selenium_view_dashboard,235,426,426,625,649,806,210,862,0.0
selenium_view_issue,235,648,652,709,726,757,512,824,0.0
selenium_project_summary,235,484,480,548,566,609,303,643,0.0
selenium_log_out,235,335,329,371,385,399,282,424,0.0
