Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,425,426,506,526,605,309,969,0.0
jmeter_view_issue,18200,168,170,200,210,234,107,1102,0.0
jmeter_search_jql,5502,544,531,639,675,741,381,1316,0.0
jmeter_view_dashboard,5079,307,301,377,409,491,221,1218,0.0
jmeter_view_backlog,2539,392,382,468,497,563,293,1128,0.0
jmeter_open_quick_create,1693,61,58,74,81,101,48,227,0.0
jmeter_create_issue,1693,222,198,302,334,387,135,880,0.0
jmeter_view_project_summary,1693,209,206,254,280,375,136,1102,0.0
jmeter_open_editor,1693,85,78,113,118,132,63,278,0.0
jmeter_save_edit,1692,275,261,341,360,443,160,821,0.0
jmeter_browse_projects,1692,61,57,74,80,103,45,248,0.0
jmeter_view_kanban_board,1269,1013,1047,1250,1308,1437,617,1622,0.0
jmeter_view_scrum_board,1269,167,156,233,243,268,85,1098,0.0
jmeter_open_comment,847,74,71,96,101,112,52,175,0.0
jmeter_save_comment,846,147,143,181,193,229,97,294,0.0
jmeter_browse_boards,846,81,74,99,105,132,61,1044,0.0
selenium_login:open_login_page,217,113,108,116,122,128,97,1104,0.0
selenium_login:login_and_view_dashboard,217,587,582,646,669,697,464,2549,0.0
selenium_login,217,701,690,753,777,811,571,3653,0.0
selenium_browse_projects_list,217,350,346,373,382,400,319,550,0.0
selenium_browse_boards_list,217,297,279,301,308,796,257,2182,0.0
selenium_create_issue:open_quick_create,217,740,746,808,827,859,631,900,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,217,612,610,617,619,635,599,1112,0.0
selenium_create_issue:fill_and_submit_issue_form,217,1161,1155,1214,1224,1235,1054,1738,0.0
selenium_create_issue,217,1901,1909,2001,2023,2059,1697,2639,0.0
selenium_edit_issue:open_edit_issue_form,217,646,649,713,730,748,443,1270,0.0
selenium_edit_issue:save_edit_issue_form,217,678,677,725,740,799,546,898,0.0
selenium_edit_issue,217,1635,1625,1708,1735,1819,1470,2234,0.0
selenium_save_comment:open_comment_form,217,350,341,398,405,424,250,431,0.0
selenium_save_comment:submit_form,217,757,739,808,844,977,606,2707,0.0
selenium_save_comment,217,1251,1226,1320,1362,1673,1110,3168,0.0
selenium_search_jql,217,1261,1252,1342,1358,1457,1118,2059,0.0
selenium_view_scrum_board_backlog,217,714,638,1274,1316,1392,445,2701,0.0
selenium_view_scrum_board,217,694,467,1096,1125,1416,288,2778,0.0
selenium_view_kanban_board,217,1453,1383,1816,1907,2222,805,2347,0.0
selenium_view_dashboard,217,660,641,833,894,1012,311,1112,0.0
selenium_view_issue,217,611,611,667,686,764,469,1762,0.0
selenium_project_summary,217,472,466,561,593,613,305,1977,0.0
selenium_log_out,217,350,345,390,413,434,287,454,0.0
