Action,without app,with app
jmeter_login_and_view_dashboard,640,542
jmeter_view_issue,268,201
jmeter_view_dashboard,428,346
jmeter_search_jql,739,596
jmeter_open_quick_create,86,73
jmeter_view_backlog,479,449
jmeter_create_issue,346,313
jmeter_view_project_summary,988,296
jmeter_open_editor,115,110
jmeter_save_edit,486,369
jmeter_browse_projects,70,74
jmeter_open_comment,109,94
jmeter_save_comment,256,220
jmeter_browse_boards,92,100
jmeter_view_kanban_board,1304,1032
jmeter_view_scrum_board,211,229
selenium_login:open_login_page,113,120
selenium_login:login_and_view_dashboard,1268,644
selenium_login,1376,757
selenium_browse_projects_list,343,367
selenium_browse_boards_list,721,299
selenium_create_issue:open_quick_create,752,779
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,611,614
selenium_create_issue:fill_and_submit_issue_form,1198,1201
selenium_create_issue,1936,1950
selenium_edit_issue:open_edit_issue_form,671,667
selenium_edit_issue:save_edit_issue_form,661,683
selenium_edit_issue,1593,1625
selenium_save_comment:open_comment_form,396,387
selenium_save_comment:submit_form,867,878
selenium_save_comment,1398,1368
selenium_search_jql,1190,1312
selenium_view_scrum_board_backlog,639,1118
selenium_view_scrum_board,1044,1116
selenium_view_kanban_board,1742,1526
selenium_view_dashboard,590,854
selenium_view_issue,677,663
selenium_project_summary,497,527
selenium_log_out,342,422
